"published","source","level","title","chapter","author","editor","collection","serie","isbn","accessibility","classification","theme","question number","question","correct answer","wrong answer 1","wrong answer 2"
1,"Médiathèque de Saint-Cloud",3,"Pas de baiser pour Maman",,"Tomi Unger","l'école des loisirs ",,,9782211041706,,"Fiction jeunesse - première lecture, premier roman","Emotion",5,"Comment le pare-brise de la voiture de Monsieur Maton s'est-il cassé ? ","Le réveil de Jo et l'ouvre-boîte ont cassé le pare-brise en tombant du septième étage","Des voyous ont essayé de forcer la serrure ","Des souris ont utilisé un ouvre-boîte pour casser le pare-brise"
1,"Médiathèque de Saint-Cloud",3,"Pas de baiser pour Maman",,"Tomi Unger","l'école des loisirs ",,,9782211041706,,"Fiction jeunesse - première lecture, premier roman","Emotion",6,"A l'école, Jo est connu comme : ","Un élève chahuteur ","Un élève modèle ","Un élève timide "
1,"Médiathèque de Saint-Cloud",3,"Pas de baiser pour Maman",,"Tomi Unger","l'école des loisirs ",,,9782211041706,,"Fiction jeunesse - première lecture, premier roman","Emotion",7,"Quelle est la devise de Jo ? ","""Mieux avoir de mauvaises notes en conduite qu'en travail""","""Mieux avoir de mauvaises notes en travail qu'en conduite""","""Mieux vaut avoir de mauvaises notes en conduite et en travail"""
1,"Médiathèque de Saint-Cloud",3,"Pas de baiser pour Maman",,"Tomi Unger","l'école des loisirs ",,,9782211041706,,"Fiction jeunesse - première lecture, premier roman","Emotion",8,"Contre qui Jo se bat-il ? ","Max ","Loulou","Mademoiselle Ronronnette"
1,"Médiathèque de Saint-Cloud",3,"Pas de baiser pour Maman",,"Tomi Unger","l'école des loisirs ",,,9782211041706,,"Fiction jeunesse - première lecture, premier roman","Emotion",9,"Que font Max et Jo avant d'aller chez l'infirmière ? ","Ils fument un cigare","Ils partent manger un sandwich ","Ils continuent de se chamailler"
1,"Médiathèque de Saint-Cloud",3,"Pas de baiser pour Maman",,"Tomi Unger","l'école des loisirs ",,,9782211041706,,"Fiction jeunesse - première lecture, premier roman","Emotion",10,"Que fait Jo pour se faire pardonner par sa mère ? ","Il lui offre des fleurs","Il travaille plus pour avoir de bonnes notes ","Il lui fait un baiser "
1,"Médiathèque de Saint-Cloud",1,"N'oublie pas de te laver les dents !",,"Philippe Corentin ","l'école des loisirs ",,,9782211097673,,"Livre illustré - album","Vie quotidienne",1,"Que ne mangent jamais les crocodiles ? ","Des petites filles ","Des petits poissons ","Des algues "
1,"Médiathèque de Saint-Cloud",1,"N'oublie pas de te laver les dents !",,"Philippe Corentin ","l'école des loisirs ",,,9782211097673,,"Livre illustré - album","Vie quotidienne",2,"Pourquoi n'est-il pas bon de manger des petites filles ? ","Elles sont trop sucrées","Elles sont trop salées","Elles n'ont pas assez d'os "
1,"Médiathèque de Saint-Cloud",1,"N'oublie pas de te laver les dents !",,"Philippe Corentin ","l'école des loisirs ",,,9782211097673,,"Livre illustré - album","Vie quotidienne",3,"Le petit crocodile va chercher une petite fille chez : ","Le voisin de palier ","Sa grand-mère ","Son ami Basile "
1,"Médiathèque de Saint-Cloud",1,"N'oublie pas de te laver les dents !",,"Philippe Corentin ","l'école des loisirs ",,,9782211097673,,"Livre illustré - album","Vie quotidienne",4,"Pourquoi les humains ne mangent jamais de crocodile ? ","Les crocodiles sentent la vase ","Les crocodiles ont une peau épaisse qui n'est pas bonne","Les crocodiles sont trop sucrés et immangeables"
1,"Médiathèque de Saint-Cloud",1,"N'oublie pas de te laver les dents !",,"Philippe Corentin ","l'école des loisirs ",,,9782211097673,,"Livre illustré - album","Vie quotidienne",5,"Le sucre est très mauvais pour : ","Les dents ","Les cheveux ","La santé "
1,"Médiathèque de Saint-Cloud",3,"Mathilde et la fête des mères",,"Pakita J.-P. Chabot ","Rageot",,"L'école d'Agathe ",9782700229080,,"Fiction jeunesse - première lecture, premier roman","Vacances, Fêtes",1,"Quel est le rêve de Mathilde ? ","Que ses cheveux touchent le sol","De se couper les cheveux très courts ","De se colorer les cheveux "
1,"Médiathèque de Saint-Cloud",3,"Mathilde et la fête des mères",,"Pakita J.-P. Chabot ","Rageot",,"L'école d'Agathe ",9782700229080,,"Fiction jeunesse - première lecture, premier roman","Vacances, Fêtes",2,"La spécialité de Mathilde est de se coiffer les cheveux en faisant : ","Un palmier ","Une queue de cheval ","Un chignon bien serré "
1,"Médiathèque de Saint-Cloud",3,"Mathilde et la fête des mères",,"Pakita J.-P. Chabot ","Rageot",,"L'école d'Agathe ",9782700229080,,"Fiction jeunesse - première lecture, premier roman","Vacances, Fêtes",3,"A qui Victor va-t-il offrir son cadeau de fête des Mères ? ","A sa grand-mère ","A son père ","A sa maîtresse"
1,"Médiathèque de Saint-Cloud",3,"Mathilde et la fête des mères",,"Pakita J.-P. Chabot ","Rageot",,"L'école d'Agathe ",9782700229080,,"Fiction jeunesse - première lecture, premier roman","Vacances, Fêtes",4,"A l'école, les élèves veulent offrir un cadeau pour la fête des Mères. Comment s'y prennent-ils ? ","Ils fabriquent eux-mêmes un cadeau","Ils achètent un cadeau","Ils veulent tous offrir le même cadeau"
1,"Médiathèque de Saint-Cloud",3,"Mathilde et la fête des mères",,"Pakita J.-P. Chabot ","Rageot",,"L'école d'Agathe ",9782700229080,,"Fiction jeunesse - première lecture, premier roman","Vacances, Fêtes",5,"Quelle est l'idée d'Aziz pour faire un beau cadeau pour la fête des Mères ? ","Faire un très joli dessin ","Faire une robe qui brille avec des paillettes ","Faire un bonhomme en pâte à sel "
1,"Médiathèque de Saint-Cloud",3,"Mathilde et la fête des mères",,"Pakita J.-P. Chabot ","Rageot",,"L'école d'Agathe ",9782700229080,,"Fiction jeunesse - première lecture, premier roman","Vacances, Fêtes",6,"Que propose d'ajouter la maîtresse aux cadeaux ? ","Un peu de magie pour faire une phrase d'amour secrète ","Des couleurs pailletées aux différents dessins ","De la peinture "
1,"Médiathèque de Saint-Cloud",3,"Mathilde et la fête des mères",,"Pakita J.-P. Chabot ","Rageot",,"L'école d'Agathe ",9782700229080,,"Fiction jeunesse - première lecture, premier roman","Vacances, Fêtes",7,"Comment faut-il faire pour cacher sa phrase d'amour sur une carte à gratter ? ","Il faut la couvrir de scotch et la recouvrir de peinture argentée ou dorée ","Il faut ajouter beaucoup de colle pour faire disparaître sa phrase","Il faut utiliser un papier spécial qui brille beaucoup"
1,"Médiathèque de Saint-Cloud",3,"Mathilde et la fête des mères",,"Pakita J.-P. Chabot ","Rageot",,"L'école d'Agathe ",9782700229080,,"Fiction jeunesse - première lecture, premier roman","Vacances, Fêtes",8,"Quel est le dessin de Mathilde ? ","Un papillon posé sur une fleur ","Un bateau et un crocodile ","Un cœur avec une phrase d'amour à l'intérieur "
1,"Médiathèque de Saint-Cloud",3,"Mathilde et la fête des mères",,"Pakita J.-P. Chabot ","Rageot",,"L'école d'Agathe ",9782700229080,,"Fiction jeunesse - première lecture, premier roman","Vacances, Fêtes",9,"Pourquoi Mathilde a-t-elle repris son cadeau après l'avoir offert à sa maman ? ","Elle ne veut plus offrir son cœur à sa maman","Elle veut rajouter des coquillages sur son dessin ","Sa maman n'a pas aimé son dessin"
1,"Médiathèque de Saint-Cloud",3,"Mathilde et la fête des mères",,"Pakita J.-P. Chabot ","Rageot",,"L'école d'Agathe ",9782700229080,,"Fiction jeunesse - première lecture, premier roman","Vacances, Fêtes",10,"Le proverbe de la maîtresse est : ","""Donner, c'est donner, reprendre, c'est voler""","""Il faut toujours penser à celui à qui l’on offre le cadeau""","""Les meilleurs cadeaux qui s'offrent ne s'achètent pas"""
1,"Médiathèque de Saint-Cloud",1,"L'histoire du soir",,"Laurence Gillot, Philippe Thomine","Flammarion ","Castor benjamin",,2081620626,,"Livre illustré - album","Lire le soir",1,"Martin Lapin a un beau : ","Potager ","Jardin ","Cottage "
1,"Médiathèque de Saint-Cloud",1,"L'histoire du soir",,"Laurence Gillot, Philippe Thomine","Flammarion ","Castor benjamin",,2081620626,,"Livre illustré - album","Lire le soir",2,"Où va se reposer Florent Eléphant tous les soirs ? ","Dans sa belle prairie ","Dans sa petite forêt","Dans sa maison avec ses éléphanteaux "
1,"Médiathèque de Saint-Cloud",1,"L'histoire du soir",,"Laurence Gillot, Philippe Thomine","Flammarion ","Castor benjamin",,2081620626,,"Livre illustré - album","Lire le soir",3,"Pablo Manchot préfère se reposer sur : ","Un bel iceberg","Un coin de banquise ","Le toit d'un igloo "
1,"Médiathèque de Saint-Cloud",1,"L'histoire du soir",,"Laurence Gillot, Philippe Thomine","Flammarion ","Castor benjamin",,2081620626,,"Livre illustré - album","Lire le soir",4,"A qui Pablo Manchot raconte-t-il son histoire ? ","A ses petits manchots","A Eloi Dauphin ","A ses amis les pingouins "
1,"Médiathèque de Saint-Cloud",1,"L'histoire du soir",,"Laurence Gillot, Philippe Thomine","Flammarion ","Castor benjamin",,2081620626,,"Livre illustré - album","Lire le soir",5,"Quelle est l'histoire que raconte Eloi Dauphin à ses enfants ? ","L'histoire de Martin Lapin ","L'histoire de Pablo Manchot ","L'histoire des poissons dans l'océan"
1,"Médiathèque de Saint-Cloud",2,"La grenouille amoureuse",,"Didier Dufrenes ","Milan ",,,2745909622,,"Fiction jeunesse - première lecture, premier roman","Conte, légende",1,"Où vit le prince Liang ? ","Au nord de la Chine ","Au sud du Japon ","Dans une province d'Italie "
1,"Médiathèque de Saint-Cloud",2,"La grenouille amoureuse",,"Didier Dufrenes ","Milan ",,,2745909622,,"Fiction jeunesse - première lecture, premier roman","Conte, légende",2,"Le dragon change le prince Liang en : ","Grenouille ","Cheval ","Panda"
1,"Médiathèque de Saint-Cloud",2,"La grenouille amoureuse",,"Didier Dufrenes ","Milan ",,,2745909622,,"Fiction jeunesse - première lecture, premier roman","Conte, légende",3,"Pourquoi le roi accepte-t-il que sa fille marie la grenouille ? ","La grenouille saute et fait trembler les murs ","La grenouille est très riche et très drôle ","Le roi est impressionné par la gentillesse de la grenouille "
1,"Médiathèque de Saint-Cloud",2,"La grenouille amoureuse",,"Didier Dufrenes ","Milan ",,,2745909622,,"Fiction jeunesse - première lecture, premier roman","Conte, légende",4,"La princesse s'appelle : ","Zhou","Pauline ","Mailan "
1,"Médiathèque de Saint-Cloud",2,"La grenouille amoureuse",,"Didier Dufrenes ","Milan ",,,2745909622,,"Fiction jeunesse - première lecture, premier roman","Conte, légende",5,"Que fait la princesse avant d'entrer dans la chambre de la grenouille ? ","Elle écoute la grenouille chanter ","Elle lui prépare à manger ","Elle se prépare pour ses noces "
1,"Médiathèque de Saint-Cloud",2,"Boucle d'Ogre et les trois ours",,"Lynda Corazza, Pascal Brissy ","Milan ",,,9782745958907,,"Fiction jeunesse - première lecture, premier roman","Classique revisité",1,"Qui est Boucle d'Ogre ? ","Une ogresse vilaine et sans gêne","Une ogresse belle et timide ","Un ogre imposant avec des cheveux blonds "
1,"Médiathèque de Saint-Cloud",2,"Boucle d'Ogre et les trois ours",,"Lynda Corazza, Pascal Brissy ","Milan ",,,9782745958907,,"Fiction jeunesse - première lecture, premier roman","Classique revisité",2,"L'animal de compagnie de Boucle d'Ogre est : ","Un rat qui s'appelle Gruyère ","Une souris qui s'appelle Fromant ","Un furet qui s'appelle Ratatouille "
1,"Médiathèque de Saint-Cloud",2,"Boucle d'Ogre et les trois ours",,"Lynda Corazza, Pascal Brissy ","Milan ",,,9782745958907,,"Fiction jeunesse - première lecture, premier roman","Classique revisité",3,"Chez qui Boucle d'Ogre s'invite-t-elle manger ? ","Chez une famille d'ours","Chez le garde forestier","Chez la famille de Gruyère"
1,"Médiathèque de Saint-Cloud",2,"Boucle d'Ogre et les trois ours",,"Lynda Corazza, Pascal Brissy ","Milan ",,,9782745958907,,"Fiction jeunesse - première lecture, premier roman","Classique revisité",4,"Où se trouve Boucle d'Ogre quand la famille d'ours rentre chez elle ? ","Elle dort sur les lits de la famille ours ","Elle est en train de dévorer le miel doré ","Elle regarde la télévision "
1,"Médiathèque de Saint-Cloud",2,"Boucle d'Ogre et les trois ours",,"Lynda Corazza, Pascal Brissy ","Milan ",,,9782745958907,,"Fiction jeunesse - première lecture, premier roman","Classique revisité",5,"Boucle d'Ogre se fait chasser par : ","Un essaim d'abeilles ","La famille d'ours ","Un groupe d'animaux sauvages"
1,"Bibliothèque familiale",4,"Alice chez le grand couturier","chapitre 1","Caroline Quine","Hachette","Bibliothèque verte","Alice",9782012016453,,"Fiction jeunesse - première lecture, premier roman","Polar, Science fiction",1,"Qui est Cécile pour Alice ?","Sa tante","Sa mère","Sa meilleure amie"
1,"Bibliothèque familiale",4,"Alice chez le grand couturier","chapitre 1","Caroline Quine","Hachette","Bibliothèque verte","Alice",9782012016453,,"Fiction jeunesse - première lecture, premier roman","Polar, Science fiction",2,"Qu'est-il arrivé à Jackie Henry ?","Elle a disparu","Elle s'est blessé le pied","Son coiffeur lui a fait une coupe à la garçonne"
1,"Bibliothèque familiale",4,"Alice chez le grand couturier","chapitre 1","Caroline Quine","Hachette","Bibliothèque verte","Alice",9782012016453,,"Fiction jeunesse - première lecture, premier roman","Polar, Science fiction",3,"Que demande Cécile à Alice ?","De remplacer Jackie Henry","De retrouver Jackie Henry avant le défilé","De retoucher la robe de Richard Reese le grand couturier"
1,"Bibliothèque familiale",4,"Alice chez le grand couturier","chapitre 1","Caroline Quine","Hachette","Bibliothèque verte","Alice",9782012016453,,"Fiction jeunesse - première lecture, premier roman","Polar, Science fiction",4,"Dans quelle ville sont-elles ?","A New York","A Paris","A Londres"
1,"Bibliothèque familiale",4,"Alice chez le grand couturier","chapitre 1","Caroline Quine","Hachette","Bibliothèque verte","Alice",9782012016453,,"Fiction jeunesse - première lecture, premier roman","Polar, Science fiction",5,"Pourquoi le styliste refuse-t-il de participer au défilé ?","Quelqu'un a volé quasiment tous ses modèles","Il ne veut pas faire le défilé sans Jackie Henry","Il a une crise de panique"
1,"Bibliothèque familiale",4,"Alice chez le grand couturier","chapitres 2 et 3","Caroline Quine","Hachette","Bibliothèque verte","Alice",9782012016453,,"Fiction jeunesse - première lecture, premier roman","Polar, Science fiction",1,"Comment se présente Alice à M.Reese ?","Elle se présente en tant que détective","Elle se présente en tant que nièce de Cécile Roy","Elle se présente en tant que mannequin"
1,"Bibliothèque familiale",4,"Alice chez le grand couturier","chapitres 2 et 3","Caroline Quine","Hachette","Bibliothèque verte","Alice",9782012016453,,"Fiction jeunesse - première lecture, premier roman","Polar, Science fiction",2,"Combien de modèles ont disparu ?","Trois sur sept","Cinq sur sept","Sept sur sept"
1,"Bibliothèque familiale",4,"Alice chez le grand couturier","chapitres 2 et 3","Caroline Quine","Hachette","Bibliothèque verte","Alice",9782012016453,,"Fiction jeunesse - première lecture, premier roman","Polar, Science fiction",3,"Qu'est-ce qui apparaît dans le magasine Millington ?","Des copies des robes de M.Reese","Les vraies robes de M.Reese","Des robes que M.Reese a créées il y a des années"
1,"Bibliothèque familiale",4,"Alice chez le grand couturier","chapitres 2 et 3","Caroline Quine","Hachette","Bibliothèque verte","Alice",9782012016453,,"Fiction jeunesse - première lecture, premier roman","Polar, Science fiction",4,"Pourquoi Alice se précipite-t-elle dans la salle du public après le défilé ?","Elle a cru y voir la mannequin Jackie Henry","Elle veut y retrouver ses amies Marion et Bess","Elle veut regarder les modèles des autres créateurs"
1,"Bibliothèque familiale",4,"Alice chez le grand couturier","chapitres 2 et 3","Caroline Quine","Hachette","Bibliothèque verte","Alice",9782012016453,,"Fiction jeunesse - première lecture, premier roman","Polar, Science fiction",5,"Que demande Alice à Richard Reese ?","De dessiner tous les modèles volés et le nom des tissus utilisés","D'appeler Jacki Henry","De ne plus sortir de chez lui avant qu'elle ait retrouvé les modèles"
1,"Bibliothèque familiale",4,"Alice chez le grand couturier","chapitre 4","Caroline Quine","Hachette","Bibliothèque verte","Alice",9782012016453,,"Fiction jeunesse - première lecture, premier roman","Polar, Science fiction",1,"Que propose Chris Chavez à Alice ?","Une danse","Un thé","Un indice"
1,"Bibliothèque familiale",4,"Alice chez le grand couturier","chapitre 4","Caroline Quine","Hachette","Bibliothèque verte","Alice",9782012016453,,"Fiction jeunesse - première lecture, premier roman","Polar, Science fiction",2,"Quel est le métier de Chris Chavez ?","Photographe","Journaliste","Styliste"
1,"Bibliothèque familiale",4,"Alice chez le grand couturier","chapitre 4","Caroline Quine","Hachette","Bibliothèque verte","Alice",9782012016453,,"Fiction jeunesse - première lecture, premier roman","Polar, Science fiction",3,"Où se trouvait le mystérieux homme roux ?","Dans le salon d'essayage","Sur le podium du défilé","Dans un taxi"
1,"Bibliothèque familiale",4,"Alice chez le grand couturier","chapitre 4","Caroline Quine","Hachette","Bibliothèque verte","Alice",9782012016453,,"Fiction jeunesse - première lecture, premier roman","Polar, Science fiction",4,"A quoi pense Alice toute la nuit ?","Aux paroles de la mannequin","A la somptueuse robe qu'elle a portée","A ce bel inconnu avec qui elle a dansé"
1,"Bibliothèque familiale",4,"Alice chez le grand couturier","chapitre 4","Caroline Quine","Hachette","Bibliothèque verte","Alice",9782012016453,,"Fiction jeunesse - première lecture, premier roman","Polar, Science fiction",5,"Qu'entendent les trois amies quand elles sont chez Chris Chavez ?","Un bruit de dispute","De la musique classique","La voix de Richard Reese"
1,"Bibliothèque familiale",4,"Alice chez le grand couturier","chapitres 5 et 6","Caroline Quine","Hachette","Bibliothèque verte","Alice",9782012016453,,"Fiction jeunesse - première lecture, premier roman","Polar, Science fiction",1,"Pourquoi la mannequin pense-t-elle que son frère a été enlevé ?","Car il a beaucoup d'ennemis et recevait de nombreuses menaces","Car il a beaucoup d'argent","Car il est le frère d'une grande mannequin"
1,"Bibliothèque familiale",4,"Alice chez le grand couturier","chapitres 5 et 6","Caroline Quine","Hachette","Bibliothèque verte","Alice",9782012016453,,"Fiction jeunesse - première lecture, premier roman","Polar, Science fiction",2,"Qu'a trouvé Jackie dans la boîte aux lettres ?","Un mot signé ""T.""","Une photo de son frère à Singapour","Une menace d'enlèvement"
1,"Bibliothèque familiale",4,"Alice chez le grand couturier","chapitres 5 et 6","Caroline Quine","Hachette","Bibliothèque verte","Alice",9782012016453,,"Fiction jeunesse - première lecture, premier roman","Polar, Science fiction",3,"Ted préparait un article très important et compromettant. De quoi parlait-il ?","D'une salle de vente qui vend de faux bijoux","D'antiquaires qui vendent de faux bijoux","Des robes volées de Richard Reese"
1,"Bibliothèque familiale",4,"Alice chez le grand couturier","chapitres 5 et 6","Caroline Quine","Hachette","Bibliothèque verte","Alice",9782012016453,,"Fiction jeunesse - première lecture, premier roman","Polar, Science fiction",4,"Que cherchent les trois amies à la salle des ventes Speers ?","Une tête de lion héraldique","Une robe de satin bleue moirée","Une photo de Ted Henry"
1,"Bibliothèque familiale",4,"Alice chez le grand couturier","chapitres 5 et 6","Caroline Quine","Hachette","Bibliothèque verte","Alice",9782012016453,,"Fiction jeunesse - première lecture, premier roman","Polar, Science fiction",5,"Pourquoi cherchent-elles ce lion ?","C'est le lion qui était dessiné sur le mot de Ted","C'est l'emblème de la famille d'Alice","Le photographe veut ce lion pour une de ses photos"
1,"Bibliothèque familiale",4,"Alice chez le grand couturier","chapitres 7 et 8","Caroline Quine","Hachette","Bibliothèque verte","Alice",9782012016453,,"Fiction jeunesse - première lecture, premier roman","Polar, Science fiction",1,"Que fait Alice une fois la vente aux enchères terminée ?","Elle essaye d'interroger l'acheteur du médaillon","Elle va au restaurant avec ses amies","Elle rentre chez elle"
1,"Bibliothèque familiale",4,"Alice chez le grand couturier","chapitres 7 et 8","Caroline Quine","Hachette","Bibliothèque verte","Alice",9782012016453,,"Fiction jeunesse - première lecture, premier roman","Polar, Science fiction",2,"Pourquoi ""Russel"" voulait-il récupérer le médaillon ?","Un ami de son oncle le lui a demandé","Il était très attaché à ce médaillon","Il l'avait promis à son oncle"
1,"Bibliothèque familiale",4,"Alice chez le grand couturier","chapitres 7 et 8","Caroline Quine","Hachette","Bibliothèque verte","Alice",9782012016453,,"Fiction jeunesse - première lecture, premier roman","Polar, Science fiction",3,"Qu'est-ce qui demande à Alice de rester chez elle ?","La secrétaire de son père","Cécile Roy","Marion"
1,"Bibliothèque familiale",4,"Alice chez le grand couturier","chapitres 7 et 8","Caroline Quine","Hachette","Bibliothèque verte","Alice",9782012016453,,"Fiction jeunesse - première lecture, premier roman","Polar, Science fiction",4,"Qui est Pete Grove ?","L'homme blond qui disait s'appeler Russel Kaiser","Le petit chauve disait s'appeler Russel Kaiser","Le policier du commissariat"
1,"Bibliothèque familiale",4,"Alice chez le grand couturier","chapitres 7 et 8","Caroline Quine","Hachette","Bibliothèque verte","Alice",9782012016453,,"Fiction jeunesse - première lecture, premier roman","Polar, Science fiction",5,"Qu'apprend Alice quand elle appelle son père ?","Il n'a jamais envoyé de documents à Alice","Les documents qu'il lui a envoyés concernent une de ses enquêtes","Il va la rejoindre à New York"
